comparison,metric,mean_delta,ci95_low,ci95_high,wilcoxon_statistic,p_value_one_sided,improved_cases,degraded_cases
UA-U,iou,0.01176607056735945,-0.0011135581869070959,0.025094449602938097,10886.0,0.024806669573632024,100,93
UA-U,dice,0.010991647675252797,-0.001618081042934482,0.024332590278374037,10912.0,0.022926497181477455,100,93
UB-U,iou,0.017477749067233306,0.006150374767927946,0.029938471989021942,10672.0,0.0339099745633411,103,89
UB-U,dice,0.018185708238818613,0.006603784499605567,0.0312256501647375,10700.0,0.03126507086569089,103,89
UAB-UB,iou,0.00654572573332201,-0.0006376032404621664,0.015024710743460425,10283.0,0.0931404815962022,99,93
UAB-UB,dice,0.004062569118160499,-0.00263111169494016,0.01218202338499949,10271.0,0.09575977329320812,99,93
UABC-UAB,iou,0.0008477460018016542,-0.004413830377714719,0.005693852129243661,11494.0,0.003018505228260829,111,82
UABC-UAB,dice,0.0007901337139180821,-0.004222799121508156,0.005456999096539226,11465.0,0.003379995750955495,111,82
UABCD-UABC,iou,0.0018291923962647884,-0.007633517568913065,0.012410359342484708,7740.0,0.9814900904756607,85,108
UABCD-UABC,dice,0.004584213031515081,-0.004092696583001086,0.01502012001618188,7747.0,0.9810778247987662,85,108
